date,ripple,isPartial
2016-12-02,107.10382513661203,False
2016-12-03,79.56284153005465,False
2016-12-04,82.62295081967214,False
2016-12-05,73.44262295081968,False
2016-12-06,91.8032786885246,False
2016-12-07,87.21311475409837,False
2016-12-08,120.87431693989072,False
2016-12-09,78.03278688524591,False
2016-12-10,93.33333333333334,False
2016-12-11,65.79234972677597,False
2016-12-12,59.67213114754099,False
2016-12-13,87.21311475409837,False
2016-12-14,94.86338797814209,False
2016-12-15,78.03278688524591,False
2016-12-16,78.03278688524591,False
2016-12-17,79.56284153005465,False
2016-12-18,74.97267759562843,False
2016-12-19,117.81420765027323,False
2016-12-20,87.21311475409837,False
2016-12-21,111.69398907103826,False
2016-12-22,128.52459016393445,False
2016-12-23,104.04371584699454,False
2016-12-24,79.56284153005465,False
2016-12-25,88.74316939890711,False
2016-12-26,71.91256830601094,False
2016-12-27,114.75409836065575,False
2016-12-28,88.74316939890711,False
2016-12-29,90.27322404371586,False
2016-12-30,67.32240437158471,False
2016-12-31,114.75409836065575,False
2017-01-01,91.8032786885246,False
2017-01-02,64.26229508196722,False
2017-01-03,74.97267759562843,False
2017-01-04,90.27322404371586,False
2017-01-05,100.98360655737706,False
2017-01-06,70.3825136612022,False
2017-01-07,85.68306010928963,False
2017-01-08,96.39344262295083,False
2017-01-09,110.16393442622952,False
2017-01-10,107.10382513661203,False
2017-01-11,123.9344262295082,False
2017-01-12,84.15300546448088,False
2017-01-13,79.56284153005465,False
2017-01-14,99.45355191256832,False
2017-01-15,53.27868852459017,False
2017-01-16,88.79781420765028,False
2017-01-17,78.14207650273225,False
2017-01-18,88.79781420765028,False
2017-01-19,63.934426229508205,False
2017-01-20,63.934426229508205,False
2017-01-21,60.38251366120219,False
2017-01-22,74.59016393442624,False
2017-01-23,85.24590163934427,False
2017-01-24,81.69398907103826,False
2017-01-25,85.24590163934427,False
2017-01-26,95.9016393442623,False
2017-01-27,71.03825136612022,False
2017-01-28,63.934426229508205,False
2017-01-29,81.69398907103826,False
2017-01-30,99.45355191256832,False
2017-01-31,81.69398907103826,False
2017-02-01,56.83060109289618,False
2017-02-02,78.14207650273225,False
2017-02-03,74.59016393442624,False
2017-02-04,85.24590163934427,False
2017-02-05,78.14207650273225,False
2017-02-06,74.59016393442624,False
2017-02-07,92.3497267759563,False
2017-02-08,85.24590163934427,False
2017-02-09,74.59016393442624,False
2017-02-10,74.59016393442624,False
2017-02-11,46.17486338797815,False
2017-02-12,60.38251366120219,False
2017-02-13,71.03825136612022,False
2017-02-14,81.69398907103826,False
2017-02-15,63.934426229508205,False
2017-02-16,74.59016393442624,False
2017-02-17,78.14207650273225,False
2017-02-18,88.79781420765028,False
2017-02-19,74.59016393442624,False
2017-02-20,81.69398907103826,False
2017-02-21,85.24590163934427,False
2017-02-22,85.24590163934427,False
2017-02-23,85.24590163934427,False
2017-02-24,71.03825136612022,False
2017-02-25,85.24590163934427,False
2017-02-26,81.69398907103826,False
2017-02-27,71.03825136612022,False
2017-02-28,74.59016393442624,False
2017-03-01,88.79781420765028,False
2017-03-02,106.55737704918035,False
2017-03-03,95.9016393442623,False
2017-03-04,74.59016393442624,False
2017-03-05,81.69398907103826,False
2017-03-06,103.00546448087432,False
2017-03-07,81.69398907103826,False
2017-03-08,95.9016393442623,False
2017-03-09,81.69398907103826,False
2017-03-10,81.69398907103826,False
2017-03-11,67.48633879781421,False
2017-03-12,67.48633879781421,False
2017-03-13,81.69398907103826,False
2017-03-14,103.00546448087432,False
2017-03-15,95.9016393442623,False
2017-03-16,138.52459016393445,False
2017-03-17,78.14207650273225,False
2017-03-18,85.24590163934427,False
2017-03-19,92.3497267759563,False
2017-03-20,95.9016393442623,False
2017-03-21,74.59016393442624,False
2017-03-22,110.10928961748635,False
2017-03-23,103.00546448087432,False
2017-03-24,131.42076502732243,False
2017-03-25,106.55737704918035,False
